"てき",敵,"Enemy"
"さい",済,"Come To An End"
"い",委,"Committee"
"きょ",挙,"Raise"
"はん",判,"Judge"
"せい",制,"Control"
"む",務,"Task"
"さ",査,"Inspect"
"そう",総,"Whole"
"せつ",設,"Establish"
"し",資,"Resources"
"けん",権,"Rights"
"けん",件,"Matter"
"は",派,"Sect"
"おか",岡,"Hill"
"そ",素,"Element"
"だん",断,"Cut Off"
"ひょう",評,"Evaluate"
"ひ",批,"Criticism"
"にん",任,"Duty"
"けん",検,"Examine"
"しん",審,"Judge"
"じょう",条,"Clause"
"せき",責,"Blame"
"しょう",省,"Conserve"
"ぞう",増,"Increase"
"ぜい",税,"Tax"
"かい",解,"Untie"
"さい",際,"Occasion"
"にん",認,"Recognize"
"き",企,"Plan"
"ぎ",義,"Righteousness"
"ばつ",罰,"Penalty"
"たん",誕,"Birth"
"だつ",脱,"Undress"
"か",過,"Surpass"
"ぼう",坊,"Monk"
"ね",寝,"Lie Down"
"みや",宮,"Shinto Shrine"
"かく",各,"Each"
"あん",案,"Plan"
"ち",置,"Put"
"ひ",費,"Expense"
"か",価,"Value"
"せい",勢,"Force"
"えい",営,"Manage"
"じ",示,"Indicate"
"とう",統,"Unite"
"りょう",領,"Territory"
"さく",策,"Plan"
"ふじ",藤,"Wisteria"
"ふく",副,"Vice"
"かん",観,"View"
"ち",値,"Value"
"きゅう",吸,"Suck"
"いき",域,"Region"
"し",姿,"Figure"
"おう",応,"Respond"
"てい",提,"Present"
"えん",援,"Aid"
"じょう",状,"Condition"
"たい",態,"Appearance"
"が",賀,"Congratulations"
"しゅう",収,"Obtain"
"てい",停,"Halt"
"かく",革,"Leather"
"しょく",職,"Employment"
"き",鬼,"Demon"
"き",規,"Standard"
"ご",護,"Defend"
"わり",割,"Divide"
"さい",裁,"Judge"
"さき",崎,"Cape"
"えん",演,"Perform"
"りつ",律,"Law"
"し",師,"Teacher"
"かん",看,"Watch Over"
"じゅん",準,"Standard"
"そく",則,"Rule"
"び",備,"Provide"
"どう",導,"Lead"
"かん",幹,"Tree Trunk"
"ちょう",張,"Stretch"
"ゆう",優,"Superior"
"たく",宅,"House"
"たく",沢,"Swamp"
"ぜい",贅,"Luxury"
"し",施,"Carry Out"
"げん",現,"Present Time"
"にゅう",乳,"Milk"
"よ",呼,"Call"
"しろ",城,"Castle"
"はい",俳,"Haiku"
"しゅう",秀,"Excel"
"たん",担,"Carry"
"がく",額,"Amount"
"せい",製,"Manufacture"
"ちが",違,"Different"
"ゆ",輸,"Transport"
"ねん",燃,"Burn"
"しゅく",祝,"Celebrate"
"とど",届,"Deliver"
"せま",狭,"Narrow"
"かた",肩,"Shoulder"
"うで",腕,"Arm"
"こし",腰,"Waist"
"しょく",触,"Touch"
"さい",載,"Publish"
"そう",層,"Layer"
"けい",型,"Model"
"ちょう",庁,"Agency"
"し",視,"Look At"
"さ",差,"Distinction"
"かん",管,"Pipe"
"ぞう",象,"Elephant"
"りょう",量,"Quantity"
"きょう",境,"Boundary"
"かん",環,"Loop"
"ぶ",武,"Military"
"しつ",質,"Quality"
"じゅつ",述,"Mention"
"きょう",供,"Servant"
"てん",展,"Expand"
"はん",販,"Sell"
"かぶ",株,"Stocks"
"げん",限,"Limit"
"よ",与,"Give"
"がん",含,"Include"
"えい",影,"Shadow"
"きょう",況,"Condition"
"わた",渡,"Transit"
"きょう",響,"Echo"
"ひょう",票,"Ballot"
"けい",景,"Scene"
"ぬ",抜,"Extract"
"そ",訴,"Sue"
"しょう",訟,"Lawsuit"
"たい",逮,"Apprehend"
"ほ",補,"Supplement"
"こう",候,"Climate"
"こう",構,"Set Up"
"も",模,"Imitation"
"ほ",捕,"Catch"
"せん",鮮,"Fresh"
"こう",効,"Effective"
"ぞく",属,"Belong"
"かん",慣,"Accustomed"
"ほう",豊,"Plentiful"
