"るい",塁,"Base"
"ほう",崩,"Crumble"
"かん",患,"Afflicted"
"もど",戻,"Return"
"こう",抗,"Confront"
"てい",抵,"Resist"
"しゅん",旬,"In Season"
"わん",湾,"Gulf"
"ばく",爆,"Explode"
"だん",弾,"Bullet"
"ちょう",聴,"Listen"
"せき",跡,"Traces"
"けん",遣,"Dispatch"
"とう",闘,"Struggle"
"じん",陣,"Army Base"
"こう",香,"Fragrance"
"ちょう",兆,"Omen"
"りん",臨,"Look To"
"さく",削,"Whittle Down"
"けい",契,"Pledge"
"え",恵,"Favor"
"だ",抱,"Hug"
"けい",掲,"Display"
"そ",狙,"Aim"
"そう",葬,"Burial"
"じゅ",需,"Demand"
"れい",齢,"Age"
"よろ",宜,"Best Regards"
"く",繰,"Spin"
"ひ",避,"Dodge"
"にん",妊,"Pregnant"
"しん",娠,"Pregnant"
"ち",致,"Do"
"かん",刊,"Edition"
"そう",奏,"Play Music"
"はん",伴,"Accompany"
"へい",併,"Join"
"けい",傾,"Lean"
"きゃく",却,"Contrary"
"おく",奥,"Interior"
"りょ",慮,"Consider"
"けん",懸,"Suspend"
"ぼう",房,"Cluster"
"あつか",扱,"Handle"
"よく",抑,"Suppress"
"たく",択,"Select"
"びょう",描,"Draw"
"ばん",盤,"Tray"
"しょう",称,"Title"
"しょ",緒,"Together"
"ゆる",緩,"Loose"
"たく",託,"Consign"
"わい",賄,"Bribe"
"ろ",賂,"Bribe"
"ぞう",贈,"Presents"
"とう",逃,"Escape"
"かん",還,"Send Back"
"ちょう",超,"Ultra"
"ほう",邦,"Home Country"
"りん",鈴,"Buzzer"
"ふ",阜,"Mound"
"き",岐,"Branch Off"
"りゅう",隆,"Prosperity"
"こ",雇,"Employ"
"ひか",控,"Abstain"
"かべ",壁,"Wall"
"き",棋,"Chess Piece"
"じゅう",渋,"Bitter"
"かた",片,"One Sided"
"ぐん",群,"Flock"
"せん",仙,"Hermit"
"じゅう",充,"Allocate"
"めん",免,"Excuse"
"かん",勧,"Recommend"
"けん",圏,"Range"
"う",埋,"Bury"
"さい",埼,"Cape"
"うば",奪,"Rob"
"ご",御,"Honorable"
"しん",慎,"Humility"
"きょ",拒,"Refuse"
"わく",枠,"Frame"
"こう",甲,"Turtle Shell"
"い",斐,"Patterned"
"し",祉,"Welfare"
"いね",稲,"Rice Plant"
"じょう",譲,"Defer"
"けん",謙,"Modesty"
"やく",躍,"Leap"
"じゅう",銃,"Gun"
"こう",項,"Paragraph"
"こう",鋼,"Steel"
"こ",顧,"Review"
"ちゅう",駐,"Resident"
"か",駆,"Gallop"
"ちゅう",柱,"Pillar"
"しょう",唱,"Chant"
"こう",孝,"Filial Piety"
"しゅん",俊,"Genius"
"けん",兼,"Concurrently"
"ざい",剤,"Dose"
"ふ",吹,"Blow"
"ほり",堀,"Ditch"
"じゅん",巡,"Patrol"
"かい",戒,"Commandment"
"はい",排,"Reject"
"けい",携,"Portable"
"びん",敏,"Alert"
"えい",鋭,"Sharp"
"しき",敷,"Spread"
"でん",殿,"Milord"
"ぎ",犠,"Sacrifice"
"かく",獲,"Seize"
