"しゅ",種,"Kind"
"たつ",達,"Attain"
"るい",類,"Type"
"ほう",報,"News"
"き",祈,"Pray"
"とう",等,"Equal"
"き",汽,"Steam"
"しゃく",借,"Borrow"
"や",焼,"Bake"
"ざ",座,"Sit"
"ぼう",忘,"Forget"
"せん",洗,"Wash"
"むね",胸,"Chest"
"のう",脳,"Brain"
"そう",僧,"Priest"
"ぜん",禅,"Zen"
"か",可,"Possible"
"きょ",許,"Permit"
"まい",枚,"Flat Objects Counter"
"せい",静,"Quiet"
"く",句,"Paragraph"
"きん",禁,"Prohibit"
"きつ",喫,"Consume"
"えん",煙,"Smoke"
"か",加,"Add"
"せつ",節,"Season"
"げん",減,"Decrease"
"じゅん",順,"Order"
"よう",容,"Form"
"ふ",布,"Cloth"
"い",易,"Easy"
"さい",財,"Wealth"
"わか",若,"Young"
"し",詞,"Part Of Speech"
"こん",昆,"Insect"
"ばつ",閥,"Clique"
"れき",歴,"Continuation"
"した",舌,"Tongue"
"さつ",冊,"Book Counter"
"う",宇,"Outer Space"
"ちゅう",宙,"Midair"
"ぼう",忙,"Busy"
"り",履,"Boots"
"だん",団,"Group"
"ぼう",暴,"Violence"
"こん",混,"Mix"
"らん",乱,"Riot"
"と",徒,"Junior"
"とく",得,"Acquire"
"かい",改,"Renew"
"ぞく",続,"Continue"
"れん",連,"Take Along"
"ぜん",善,"Morally Good"
"こん",困,"Distressed"
"らく",絡,"Entangle"
"ひ",比,"Compare"
"さい",災,"Disaster"
"き",機,"Machine"
"りつ",率,"Percent"
"ひ",飛,"Fly"
"がい",害,"Damage"
"よ",余,"Surplus"
"なん",難,"Difficult"
"ぼう",妨,"Obstruct"
"ひ",被,"Incur"
"ゆう",裕,"Abundant"
"しん",震,"Earthquake"
"しり",尻,"Butt"
"び",尾,"Tail"
"かい",械,"Contraption"
"かく",確,"Certain"
"けん",嫌,"Dislike"
"こ",個,"Individual"
"あつ",圧,"Pressure"
"ざい",在,"Exist"
"む",夢,"Dream"
"さん",産,"Give Birth"
"とう",倒,"Overthrow"
"くさ",臭,"Stinking"
"あつ",厚,"Thick"
"さい",妻,"Wife"
"ぎ",議,"Deliberation"
"はん",犯,"Crime"
"ざい",罪,"Guilt"
"ぼう",防,"Prevent"
"あな",穴,"Hole"
"ろん",論,"Theory"
"けい",経,"Passage of Time"
"てき",笛,"Flute"
"し",史,"History"
"しょう",詳,"Detailed"
"げき",劇,"Drama"
"ぼく",僕,"I"
"じょう",丈,"Height"
"こう",喉,"Throat"
"こう",叩,"Strike"
"あめ",飴,"Candy"
