"いち",一,"One"
"てん",点,"Point"
"か",科,"Course"
"ちゃ",茶,"Tea"
"しょく",食,"Eat"
"くび",首,"Neck"
"けつ",欠,"Lack"
"し",氏,"Family Name"
"ゆう",由,"Reason"
"さつ",札,"Bill"
"みん",民,"Peoples"
"へん",辺,"Area"
"つ",付,"Attach"
"い",以,"From"
"しつ",失,"Fault"
"ひつ",必,"Certain"
"み",未,"Not Yet"
"まつ",末,"End"
"こう",校,"School"
"なつ",夏,"Summer"
"か",家,"House"
"じゃく",弱,"Weak"
"じ",時,"Time"
"かみ",紙,"Paper"
"き",記,"Write Down"
"つう",通,"Pass Through"
"こう",高,"Tall"
"きょう",強,"Strong"
"きょう",教,"Teach"
"り",理,"Reason"
"そ",組,"Group"
"せん",船,"Boat"
"しゅう",週,"Week"
"ゆき",雪,"Snow"
"ぎょ",魚,"Fish"
"ちょう",鳥,"Bird"
"き",黄,"Yellow"
"こく",黒,"Black"
"し",支,"Support"
"じゅう",住,"Dwelling"
"じょ",助,"Help"
"い",医,"Medicine"
"くん",君,"Buddy"
"たい",対,"Versus"
"きょく",局,"Bureau"
"やく",役,"Service"
"とう",投,"Throw"
"けつ",決,"Decide"
"きゅう",究,"Research"
"しん",身,"Somebody"
"しゃ",者,"Someone"
"けん",研,"Sharpen"
"ば",馬,"Horse"
"もり",森,"Forest"
"じょう",場,"Location"
"あさ",朝,"Morning"
"ばん",番,"Number In A Series"
"こた",答,"Answer"
"え",絵,"Drawing"
"か",買,"Buy"
"どう",道,"Road"
"かん",間,"Interval"
"くも",雲,"Cloud"
"すう",数,"Count"
"らく",楽,"Comfort"
"わ",話,"Talk"
"でん",電,"Electricity"
"しょ",所,"Place"
"じ",事,"Action"
"し",使,"Use"
"ぐ",具,"Tool"
"じゅ",受,"Accept"
"わ",和,"Peace"
"し",始,"Begin"
"てい",定,"Determine"
"じつ",実,"Truth"
"ふく",服,"Clothes"
"およ",泳,"Swim"
"ぶつ",物,"Thing"
"く",苦,"Suffering"
"ひょう",表,"Express"
"ぶ",部,"Part"
"の",乗,"Ride"
"きゃく",客,"Guest"
"や",屋,"Roof"
"ど",度,"Degrees"
"じ",持,"Hold"
"かい",界,"World"
"はつ",発,"Departure"
"そう",相,"Mutual"
"けん",県,"Prefecture"
"び",美,"Beauty"
"ふ",負,"Lose"
"そう",送,"Send"
"じゅう",重,"Heavy"
"だん",談,"Discuss"
"よう",要,"Need"
"しょう",勝,"Win"
"か",仮,"Temporary"
"お",起,"Wake Up"
"そく",速,"Fast"
"はい",配,"Distribute"
"しゅ",酒,"Alcohol"
"いん",院,"Institution"
"しゅう",終,"End"
"しゅう",習,"Learn"
"てん",転,"Revolve"
"しん",進,"Advance"
"らく",落,"Fall"
"は",葉,"Leaf"
"かる",軽,"Lightweight"
"うん",運,"Carry"
"かい",開,"Open"
"しゅう",集,"Collect"
"の",飲,"Drink"
"ぎょう",業,"Business"
"かん",漢,"Chinese"
"ろ",路,"Road"
"のう",農,"Farming"
"てつ",鉄,"Iron"
"か",歌,"Song"
"さん",算,"Calculate"
"ぶん",聞,"Hear"
"ご",語,"Language"
"よ",読,"Read"
"な",鳴,"Chirp"
"せん",線,"Line"
"よこ",横,"Side"
"ちょう",調,"Investigate"
"しん",親,"Parent"
"あたま",頭,"Head"
"かお",顔,"Face"
"びょう",病,"Sick"
"さい",最,"Most"
"せい",生,"Life"
"ぼう",亡,"Death"
"ふう",風,"Wind"
"よ",予,"Beforehand"
"はん",反,"Anti"
"のま",々,"Repeater"
"しん",新,"New"
"へん",返,"Return"
"きゅう",求,"Request"
"し",私,"I"
"ほ",保,"Preserve"
"し",試,"Try"
"けん",験,"Test"
"ほう",宝,"Treasure"
"きん",斤,"Axe"
